,file,age,gender,race,age_infer,gender_infer
0,train/1.jpg,50-59,Male,East Asian,44,male
1,train/2.jpg,30-39,Female,Indian,43,female
2,train/3.jpg,3-9,Female,Black,8,male
3,train/4.jpg,20-29,Female,Indian,26,female
4,train/5.jpg,20-29,Female,Indian,26,female
5,train/6.jpg,20-29,Male,White,25,female
6,train/7.jpg,40-49,Male,Middle Eastern,40,male
7,train/8.jpg,30-39,Female,Indian,undetected,undetected
8,train/9.jpg,10-19,Male,White,16,male
9,train/10.jpg,30-39,Male,Middle Eastern,36,male
10,train/11.jpg,50-59,Male,East Asian,50,male
11,train/12.jpg,20-29,Male,East Asian,30,male
12,train/13.jpg,20-29,Male,Latino_Hispanic,30,male
13,train/14.jpg,10-19,Male,Indian,13,male
14,train/15.jpg,60-69,Female,Indian,undetected,undetected
15,train/16.jpg,30-39,Female,White,34,female
16,train/17.jpg,20-29,Female,Southeast Asian,24,female
17,train/18.jpg,40-49,Male,Southeast Asian,42,male
18,train/19.jpg,0-2,Female,Black,1,male
19,train/20.jpg,50-59,Male,Southeast Asian,57,male
20,train/21.jpg,20-29,Female,Indian,33,female
21,train/22.jpg,30-39,Female,Middle Eastern,47,female
22,train/23.jpg,20-29,Female,Black,undetected,undetected
23,train/24.jpg,30-39,Female,White,36,female
24,train/25.jpg,20-29,Female,White,undetected,undetected
25,train/26.jpg,30-39,Female,Black,21,female
26,train/27.jpg,50-59,Female,White,49,female
27,train/28.jpg,10-19,Female,White,undetected,undetected
28,train/29.jpg,20-29,Male,Indian,30,male
29,train/30.jpg,20-29,Female,Black,undetected,undetected
30,train/31.jpg,40-49,Female,Black,43,female
31,train/32.jpg,10-19,Female,East Asian,21,female
32,train/33.jpg,50-59,Male,White,undetected,undetected
33,train/34.jpg,40-49,Male,Middle Eastern,46,male
34,train/35.jpg,20-29,Male,East Asian,34,male
35,train/36.jpg,60-69,Female,Middle Eastern,60,female
36,train/37.jpg,20-29,Female,Latino_Hispanic,24,female
37,train/38.jpg,30-39,Male,Latino_Hispanic,44,female
38,train/39.jpg,50-59,Male,Middle Eastern,46,male
39,train/40.jpg,20-29,Female,Latino_Hispanic,31,female
40,train/41.jpg,20-29,Male,White,31,male
41,train/42.jpg,10-19,Female,Black,18,female
42,train/43.jpg,10-19,Female,Southeast Asian,23,female
43,train/44.jpg,40-49,Male,Latino_Hispanic,39,male
44,train/45.jpg,10-19,Male,Indian,13,male
45,train/46.jpg,10-19,Female,Indian,18,female
46,train/47.jpg,60-69,Male,East Asian,68,male
47,train/48.jpg,3-9,Female,Middle Eastern,3,female
48,train/49.jpg,10-19,Female,Southeast Asian,30,female
49,train/50.jpg,50-59,Female,Black,47,female
50,train/51.jpg,3-9,Female,East Asian,5,female
51,train/52.jpg,60-69,Male,Latino_Hispanic,61,male
52,train/53.jpg,50-59,Male,Southeast Asian,58,male
53,train/54.jpg,30-39,Female,East Asian,38,male
54,train/55.jpg,30-39,Male,Southeast Asian,30,male
55,train/56.jpg,30-39,Male,White,37,male
56,train/57.jpg,20-29,Male,Black,23,male
57,train/58.jpg,40-49,Female,Latino_Hispanic,47,female
58,train/59.jpg,10-19,Female,Latino_Hispanic,22,female
59,train/60.jpg,10-19,Female,Latino_Hispanic,13,female
60,train/61.jpg,3-9,Male,East Asian,8,male
61,train/62.jpg,10-19,Male,Indian,13,male
62,train/63.jpg,40-49,Male,Indian,42,male
63,train/64.jpg,20-29,Male,Southeast Asian,24,male
64,train/65.jpg,30-39,Male,East Asian,44,male
65,train/66.jpg,30-39,Male,Latino_Hispanic,31,male
66,train/67.jpg,10-19,Female,Latino_Hispanic,8,female
67,train/68.jpg,60-69,Male,White,70,male
68,train/69.jpg,50-59,Male,Southeast Asian,50,male
69,train/70.jpg,30-39,Male,Indian,31,male
70,train/71.jpg,60-69,Female,Indian,undetected,undetected
71,train/72.jpg,30-39,Male,Latino_Hispanic,32,male
72,train/73.jpg,30-39,Female,Latino_Hispanic,33,female
73,train/74.jpg,20-29,Female,Southeast Asian,24,female
74,train/75.jpg,30-39,Male,Indian,undetected,undetected
75,train/76.jpg,20-29,Male,Southeast Asian,31,male
76,train/77.jpg,50-59,Female,Black,undetected,undetected
77,train/78.jpg,20-29,Female,Middle Eastern,20,female
78,train/79.jpg,40-49,Male,Latino_Hispanic,undetected,undetected
79,train/80.jpg,30-39,Male,White,29,male
80,train/81.jpg,30-39,Female,Black,undetected,undetected
81,train/82.jpg,30-39,Male,Indian,51,male
82,train/83.jpg,40-49,Male,White,46,male
83,train/84.jpg,10-19,Female,Black,undetected,undetected
84,train/85.jpg,20-29,Female,White,23,female
85,train/86.jpg,20-29,Female,Black,undetected,undetected
86,train/87.jpg,20-29,Male,Black,13,male
87,train/88.jpg,20-29,Female,Southeast Asian,undetected,undetected
88,train/89.jpg,40-49,Male,Indian,33,male
89,train/90.jpg,50-59,Male,Indian,58,male
90,train/91.jpg,30-39,Male,Latino_Hispanic,45,male
91,train/92.jpg,0-2,Female,East Asian,1,female
92,train/93.jpg,30-39,Female,White,42,female
93,train/94.jpg,3-9,Female,Latino_Hispanic,undetected,undetected
94,train/95.jpg,20-29,Male,Black,29,male
95,train/96.jpg,30-39,Female,White,24,female
96,train/97.jpg,30-39,Female,White,undetected,undetected
97,train/98.jpg,20-29,Female,East Asian,27,female
98,train/99.jpg,30-39,Male,White,36,male
99,train/100.jpg,20-29,Female,East Asian,23,female
100,train/101.jpg,30-39,Male,Indian,29,male
101,train/102.jpg,30-39,Male,White,39,male
102,train/103.jpg,40-49,Male,Indian,51,male
103,train/104.jpg,30-39,Male,Indian,33,male
104,train/105.jpg,50-59,Male,East Asian,undetected,undetected
105,train/106.jpg,40-49,Male,Black,22,male
106,train/107.jpg,30-39,Female,White,undetected,undetected
107,train/108.jpg,more than 70,Female,Indian,72,female
108,train/109.jpg,20-29,Female,Middle Eastern,29,female
109,train/110.jpg,30-39,Male,White,35,male
110,train/111.jpg,40-49,Female,Indian,40,female
111,train/112.jpg,40-49,Female,Latino_Hispanic,46,female
112,train/113.jpg,30-39,Male,Middle Eastern,31,male
113,train/114.jpg,30-39,Female,White,28,female
114,train/115.jpg,50-59,Male,Black,undetected,undetected
115,train/116.jpg,20-29,Female,Latino_Hispanic,31,female
116,train/117.jpg,30-39,Male,White,31,male
117,train/118.jpg,30-39,Male,White,31,male
118,train/119.jpg,40-49,Male,Indian,41,male
119,train/120.jpg,60-69,Male,Middle Eastern,55,male
120,train/121.jpg,20-29,Female,White,27,female
121,train/122.jpg,20-29,Female,East Asian,undetected,undetected
122,train/123.jpg,30-39,Female,Black,25,female
123,train/124.jpg,0-2,Male,Indian,1,male
124,train/125.jpg,40-49,Male,White,44,male
125,train/126.jpg,30-39,Female,East Asian,25,female
126,train/127.jpg,3-9,Female,White,4,female
127,train/128.jpg,20-29,Female,Indian,28,female
128,train/129.jpg,10-19,Female,Black,15,female
129,train/130.jpg,50-59,Male,White,54,male
130,train/131.jpg,30-39,Female,Middle Eastern,undetected,undetected
131,train/132.jpg,3-9,Female,White,7,female
132,train/133.jpg,3-9,Male,Latino_Hispanic,4,female
133,train/134.jpg,30-39,Male,White,undetected,undetected
134,train/135.jpg,40-49,Female,White,52,female
135,train/136.jpg,50-59,Female,Indian,56,female
136,train/137.jpg,40-49,Male,Latino_Hispanic,31,male
137,train/138.jpg,50-59,Male,Black,undetected,undetected
138,train/139.jpg,30-39,Female,East Asian,25,female
139,train/140.jpg,20-29,Female,East Asian,25,female
140,train/141.jpg,10-19,Male,Latino_Hispanic,13,male
141,train/142.jpg,30-39,Male,East Asian,28,male
142,train/143.jpg,30-39,Male,Indian,27,male
143,train/144.jpg,more than 70,Male,East Asian,64,male
144,train/145.jpg,30-39,Male,White,36,male
145,train/146.jpg,40-49,Male,Southeast Asian,47,male
146,train/147.jpg,40-49,Male,Southeast Asian,42,male
147,train/148.jpg,50-59,Male,Southeast Asian,41,male
148,train/149.jpg,50-59,Male,Indian,59,male
149,train/150.jpg,20-29,Male,Latino_Hispanic,undetected,undetected
150,train/151.jpg,20-29,Female,Black,30,female
151,train/152.jpg,20-29,Male,Middle Eastern,31,male
152,train/153.jpg,20-29,Female,Southeast Asian,undetected,undetected
153,train/154.jpg,30-39,Male,White,39,male
154,train/155.jpg,20-29,Male,Southeast Asian,undetected,undetected
155,train/156.jpg,20-29,Male,Latino_Hispanic,23,male
156,train/157.jpg,20-29,Male,White,25,male
157,train/158.jpg,3-9,Male,Black,undetected,undetected
158,train/159.jpg,30-39,Female,Indian,undetected,undetected
159,train/160.jpg,40-49,Female,Black,undetected,undetected
160,train/161.jpg,10-19,Female,Latino_Hispanic,21,female
161,train/162.jpg,30-39,Female,White,33,female
162,train/163.jpg,10-19,Male,Southeast Asian,22,male
163,train/164.jpg,20-29,Female,East Asian,26,female
164,train/165.jpg,50-59,Female,Southeast Asian,60,female
165,train/166.jpg,3-9,Male,East Asian,2,female
166,train/167.jpg,30-39,Female,Latino_Hispanic,38,female
167,train/168.jpg,20-29,Female,Southeast Asian,26,female
168,train/169.jpg,20-29,Male,East Asian,18,female
169,train/170.jpg,20-29,Female,Southeast Asian,30,female
170,train/171.jpg,30-39,Female,White,25,female
171,train/172.jpg,10-19,Male,Southeast Asian,14,male
172,train/173.jpg,20-29,Female,Latino_Hispanic,27,male
173,train/174.jpg,60-69,Male,Indian,undetected,undetected
174,train/175.jpg,20-29,Female,Indian,26,female
175,train/176.jpg,60-69,Female,White,61,female
176,train/177.jpg,30-39,Female,White,37,female
177,train/178.jpg,30-39,Male,White,38,male
178,train/179.jpg,10-19,Female,Black,undetected,undetected
179,train/180.jpg,30-39,Male,Middle Eastern,44,male
180,train/181.jpg,20-29,Female,Latino_Hispanic,23,female
181,train/182.jpg,40-49,Male,Black,46,male
182,train/183.jpg,20-29,Female,Black,28,female
183,train/184.jpg,20-29,Male,White,26,male
184,train/185.jpg,3-9,Male,Black,6,female
185,train/186.jpg,50-59,Female,Southeast Asian,undetected,undetected
186,train/187.jpg,30-39,Female,Middle Eastern,undetected,undetected
187,train/188.jpg,3-9,Female,Indian,6,male
188,train/189.jpg,3-9,Female,East Asian,5,female
189,train/190.jpg,10-19,Male,East Asian,23,male
190,train/191.jpg,20-29,Female,East Asian,22,female
191,train/192.jpg,10-19,Female,White,14,female
192,train/193.jpg,60-69,Male,White,61,male
193,train/194.jpg,20-29,Male,East Asian,undetected,undetected
194,train/195.jpg,40-49,Male,Black,43,male
195,train/196.jpg,20-29,Female,Middle Eastern,17,female
196,train/197.jpg,40-49,Female,White,undetected,undetected
197,train/198.jpg,10-19,Female,Indian,13,male
198,train/199.jpg,20-29,Female,Latino_Hispanic,24,female
199,train/200.jpg,10-19,Male,Indian,9,male
200,train/201.jpg,40-49,Female,Latino_Hispanic,47,female
201,train/202.jpg,40-49,Male,Black,undetected,undetected
202,train/203.jpg,20-29,Male,White,31,female
203,train/204.jpg,20-29,Female,East Asian,28,female
204,train/205.jpg,3-9,Female,Southeast Asian,7,female
205,train/206.jpg,50-59,Female,White,undetected,undetected
206,train/207.jpg,20-29,Female,Middle Eastern,22,female
207,train/208.jpg,30-39,Female,Indian,42,female
208,train/209.jpg,30-39,Female,Black,39,female
209,train/210.jpg,3-9,Male,Black,12,female
210,train/211.jpg,20-29,Male,Southeast Asian,34,male
211,train/212.jpg,3-9,Male,East Asian,5,male
212,train/213.jpg,50-59,Male,White,49,male
213,train/214.jpg,50-59,Male,White,57,male
214,train/215.jpg,30-39,Female,Black,45,female
215,train/216.jpg,50-59,Male,Black,55,male
216,train/217.jpg,40-49,Male,Indian,42,male
217,train/218.jpg,30-39,Female,Middle Eastern,39,female
218,train/219.jpg,30-39,Female,Southeast Asian,24,female
219,train/220.jpg,3-9,Male,Latino_Hispanic,8,female
220,train/221.jpg,3-9,Female,White,6,female
221,train/222.jpg,30-39,Male,Middle Eastern,33,male
